label    ,  Mbh , dMbh_pos, dMbh_neg, Sig, dSig_pos, dSig_neg
NGC 0584 , 8.11 , 0.18 , 0.18 , 2.33 , 0.0414 , 0.0458
NGC 0821 , 7.59 , 0.17 , 0.17 , 2.30 , 0.0414 , 0.0458
NGC 3414 , 8.38 , 0.09 , 0.09 , 2.38 , 0.0414 , 0.0458
NGC 3585 , 8.49 , 0.13 , 0.13 , 2.33 , 0.0414 , 0.0458
NGC 3607 , 8.16 , 0.18 , 0.18 , 2.35 , 0.0414 , 0.0458
NGC 4291 , 8.51 , 0.37 , 0.37 , 2.47 , 0.0414 , 0.0458
NGC 4473 , 8.07 , 0.36 , 0.36 , 2.25 , 0.0414 , 0.0458
NGC 4552 , 8.67 , 0.05 , 0.05 , 2.40 , 0.0414 , 0.0458
NGC 4621 , 8.59 , 0.06 , 0.06 , 2.36 , 0.0414 , 0.0458
